period_yyyymm,path,row_count,source_files,loaded_at
2023-09,year=2023/month=09/data.parquet,2372419,"['기타 2021-2026.02.xlsx', '병원 2023.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2023.xlsx', '의원_ 내과 제외 2307-09.xlsx', '의원_내과 세부진료과 2023.xlsx']",2026-05-19T01:23:49+09:00
2023-10,year=2023/month=10/data.parquet,2377271,"['기타 2021-2026.02.xlsx', '병원 2023.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2023.xlsx', '의원_ 내과 제외 2310-12.xlsx', '의원_내과 세부진료과 2023.xlsx']",2026-05-19T01:23:49+09:00
2023-11,year=2023/month=11/data.parquet,2377271,"['기타 2021-2026.02.xlsx', '병원 2023.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2023.xlsx', '의원_ 내과 제외 2310-12.xlsx', '의원_내과 세부진료과 2023.xlsx']",2026-05-19T01:23:49+09:00
2023-12,year=2023/month=12/data.parquet,2377271,"['기타 2021-2026.02.xlsx', '병원 2023.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2023.xlsx', '의원_ 내과 제외 2310-12.xlsx', '의원_내과 세부진료과 2023.xlsx']",2026-05-19T01:23:49+09:00
2024-01,year=2024/month=01/data.parquet,2331786,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2401-02.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-02,year=2024/month=02/data.parquet,2331786,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2401-02.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-03,year=2024/month=03/data.parquet,2337761,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2403-04.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-04,year=2024/month=04/data.parquet,2337761,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2403-04.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-05,year=2024/month=05/data.parquet,2338633,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2405-06.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-06,year=2024/month=06/data.parquet,2338633,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2405-06.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
