atc_code,canonical_audit_channel,nsa_rows,nsa_unique_product_pack_keys
J07E1,KCPA,627,27
J07E1,KHPA,529,24
J07E1,KPA,14,4
J07E2,KCPA,364,7
J07E2,KHPA,333,7
J07E2,KPA,38,4
J07E3,KCPA,164,3
J07E3,KHPA,161,3
J07E3,KPA,22,1
J07E4,KCPA,773,15
J07E4,KHPA,716,16
J07E4,KPA,3,1
J07E5,KCPA,120,2
J07E5,KHPA,120,2
J07E6,KCPA,22,4
J07E6,KHPA,11,3
J07E7,KCPA,5,1
J07E7,KHPA,5,1
J07E9,KCPA,447,11
J07E9,KHPA,541,11
J07X0,KCPA,45,2
J07X0,KHPA,247,5
J07X0,KPA,300,5
J08B0,KCPA,294,8
J08B0,KHPA,365,9
J08B0,KPA,91,7
J08X0,KCPA,61,2
J08X0,KHPA,122,4
J08X0,KPA,3,1
K01A1,KHPA,394,8
K01A1,KPA,80,2
K01A3,KCPA,32,5
K01A3,KHPA,1002,19
K01A3,KPA,125,10
K01A4,KCPA,15,2
K01A4,KHPA,196,4
K01A4,KPA,31,3
K01A5,KHPA,18,2
K01A7,KCPA,867,17
K01A7,KHPA,887,17
K01A7,KPA,467,11
K01A9,KHPA,60,1
K01B1,KCPA,1818,41
K01B1,KHPA,2335,50
K01B1,KPA,1230,33
K01B2,KCPA,695,17
K01B2,KHPA,1373,29
K01B2,KPA,347,12
K01B3,KCPA,1678,38
K01B3,KHPA,1824,39
K01B3,KPA,668,22
K01C1,KCPA,276,9
K01C1,KHPA,581,12
K01C1,KPA,188,7
K01D1,KCPA,540,17
K01D1,KHPA,951,21
K01D1,KPA,167,8
K01D2,KCPA,932,30
K01D2,KHPA,3399,87
K01D2,KPA,276,23
K01E1,KCPA,3332,81
K01E1,KHPA,3737,85
K01E1,KPA,939,45
K01E2,KHPA,34,1
K01E3,KCPA,385,9
K01E3,KHPA,392,10
K01E3,KPA,159,5
K01E4,KCPA,2954,80
K01E4,KHPA,2012,60
K01E4,KPA,497,28
K01E5,KCPA,123,3
K01E5,KHPA,322,6
K01E5,KPA,6,2
K01E9,KCPA,218,8
K01E9,KHPA,312,8
K01E9,KPA,58,2
K01F1,KCPA,344,8
K01F1,KHPA,902,18
K01F1,KPA,112,7
K02A1,KHPA,2,1
K02B0,KCPA,114,2
K02B0,KHPA,254,6
K02B0,KPA,75,4
K03B2,KCPA,52,2
K03B2,KHPA,152,3
K03B2,KPA,54,3
K03B3,KCPA,163,4
K03B3,KHPA,240,4
K03B3,KPA,152,4
K04A1,KCPA,2470,64
K04A1,KHPA,4322,90
K04A1,KPA,339,17
K04B1,KCPA,261,8
K04B1,KHPA,644,12
K04B1,KPA,492,11
K04B2,KCPA,292,11
K04B2,KHPA,715,12
K04B2,KPA,209,8
K04C0,KCPA,157,4
K04C0,KHPA,180,3
K04C0,KPA,153,3
K04D0,KCPA,457,10
K04D0,KHPA,587,13
K04D0,KPA,34,4
K05A2,KCPA,131,3
K05A2,KHPA,252,10
K05A2,KPA,515,12
K05A9,KCPA,51,1
K05A9,KHPA,60,1
K06A0,KCPA,1469,40
K06A0,KHPA,1987,48
K06A0,KPA,9,1
K06B0,KHPA,1957,40
K06C0,KHPA,164,3
K07A0,KHPA,177,3
K07A0,KPA,19,2
L01A0,KHPA,1674,36
L01A0,KPA,799,18
L01B0,KCPA,126,6
L01B0,KHPA,5151,114
L01B0,KPA,1368,44
L01C1,KHPA,390,9
L01C1,KPA,129,6
L01C2,KHPA,2460,48
L01C2,KPA,181,8
L01C3,KHPA,1312,25
L01C3,KPA,3,1
L01C4,KHPA,212,5
L01C4,KPA,28,2
L01D0,KCPA,106,3
L01D0,KHPA,1465,32
L01D0,KPA,199,12
L01F0,KHPA,2205,40
L01F0,KPA,136,10
L01G1,KHPA,412,11
L01G1,KPA,9,3
L01G2,KCPA,23,2
L01G2,KHPA,462,10
L01G2,KPA,26,2
L01G3,KHPA,590,12
L01G3,KPA,9,2
L01G4,KHPA,98,2
L01G5,KCPA,24,2
L01G5,KHPA,547,12
L01G5,KPA,3,2
L01G9,KHPA,820,32
L01H1,KHPA,1237,26
L01H1,KPA,1515,31
L01H2,KHPA,1110,24
L01H2,KPA,1341,29
L01H3,KHPA,468,9
L01H3,KPA,505,9
L01H4,KHPA,363,8
L01H4,KPA,341,6
L01H5,KHPA,513,12
L01H5,KPA,543,12
L01H6,KHPA,181,7
L01H6,KPA,152,6
L01H7,KHPA,236,8
L01H7,KPA,233,8
L01H9,KCPA,18,2
L01H9,KHPA,1968,54
L01H9,KPA,1955,58
L01J0,KHPA,585,12
L01J0,KPA,159,3
L01K0,KHPA,1993,55
L01K0,KPA,966,39
L01L0,KHPA,239,8
L01L0,KPA,215,6
L01X1,KCPA,905,27
L01X1,KHPA,2319,40
L01X1,KPA,156,13
L01X6,KHPA,6,1
L01X8,KHPA,119,2
L01X8,KPA,3,1
L01X9,KCPA,3,1
L01X9,KHPA,1505,33
L01X9,KPA,683,18
L02A2,KCPA,276,7
L02A2,KHPA,1601,33
L02A2,KPA,1671,34
L02A3,KCPA,334,11
L02A3,KHPA,1061,19
L02A3,KPA,142,12
L02B1,KHPA,510,12
L02B1,KPA,454,8
L02B2,KHPA,778,20
L02B2,KPA,990,21
L02B3,KHPA,530,11
L02B3,KPA,631,13
L02B9,KHPA,120,2
L02B9,KPA,3,1
L03A1,KCPA,54,9
L03A1,KHPA,1013,18
L03A1,KPA,125,7
