level,market,brand_id,brand_name,brand_normalized,matched_brand_in_master,current_value,target_value,policy,match_type,action,confidence
ml,ml_008,sb_008_01022,크레칸데,크레칸데,크레칸데,Rosuvastatin/Candesartan,Rosuvastatin/Candesartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01063,클로베네,클로베네,클로베네,Chlorthalidone,Chlorthalidone,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00249,클로잘탄,클로잘탄,클로잘탄,Losartan/Chlorthalidone,Losartan/Chlorthalidone,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00774,태극 암로디핀,태극암로디핀,태극암로디핀,Amlodipine,Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01070,테노레틱,테노레틱,테노레틱,atenolol/chlorthalidone,atenolol/chlorthalidone,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00524,테라모핀,테라모핀,테라모핀,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00504,테람트윈,테람트윈,테람트윈,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00133,테르탄,테르탄,테르탄,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00535,테미스타,테미스타,테미스타,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00031,테베텐,테베텐,테베텐,Eprosartan,Eprosartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00251,테베텐 플러스,테베텐플러스,테베텐플러스,eprosartan/hydrochlorothiazide,eprosartan/hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00522,테살핀,테살핀,테살핀,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00554,테잘바이,테잘바이,테잘바이,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00955,테프라,테프라,테프라,Propranolol,Propranolol,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00517,텔라스타,텔라스타,텔라스타,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01041,텔로다운,텔로다운,텔로다운,Rosuvastatin/Telmisartan,Rosuvastatin/Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00530,텔로디탄,텔로디탄,텔로디탄,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00543,텔로디핀,텔로디핀,텔로디핀,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01042,텔로바틴,텔로바틴,텔로바틴,Rosuvastatin/Telmisartan,Rosuvastatin/Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00172,텔로살탄,텔로살탄,텔로살탄,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00342,텔로살탄 플러스,텔로살탄플러스,텔로살탄플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00521,텔로스탄,텔로스탄,텔로스탄,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01040,텔로스톱,텔로스톱,텔로스톱,Rosuvastatin/Telmisartan,Rosuvastatin/Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00981,텔로스톱 플러스,텔로스톱플러스,텔로스톱플러스,Rosuvastatin/Telmisartan/Amlodipine,Rosuvastatin/Telmisartan/Amlodipine,molecule,normalized,NOOP,HIGH
