NAME                                                           READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                          IMAGES                                                                                                                                                                                                    SELECTOR
deployment.apps/codespace-19                                   1/1     1            1           2d4h    codespace-19                        asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-codespace-slim:custom_v1                                                                                         app=codespace-19
deployment.apps/jw-brand-activity-demo                         1/1     1            1           23d     jw-brand-activity-demo              asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-brand-activity-demo:v0.1.1                                                                                                 app=jw-brand-activity-demo
deployment.apps/jw-brand-activity-mock                         1/1     1            1           23d     jw-brand-activity-mock              asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-brand-activity-mock:v0.1.7                                                                                                 app=jw-brand-activity-mock
deployment.apps/jw-chat-agent-poc                              2/2     2            2           32d     app                                 asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-chat-agent-poc:chat-810-p1-deep-c420a2b-20260717@sha256:d35aaa500797df86d722fef1daf64ca83ba4c7f3c58a830e4d3b826b28f0f044   app=jw-chat-agent-poc
deployment.apps/jw-data-portal                                 1/1     1            1           6d23h   jw-data-portal                      asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-data-portal:v0.5.2                                                                                                         app=jw-data-portal
deployment.apps/jw-data-portal-worker                          1/1     1            1           6d23h   upload-worker                       asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-data-portal:v0.5.2                                                                                                         app=jw-data-portal-worker
deployment.apps/jw-market-api                                  1/1     1            1           66d     jw-market-api                       asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-market-analysis:v0.9.1                                                                                                     app=jw-market-api
deployment.apps/jw-market-backend-api                          5/5     5            5           52d     jw-market-backend-api               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-market-backend-api@sha256:d5e23b72f55537bac3bbfc99e60dcaf9bf3a9c848e1d43f0eacb4f21df57cd66                                 app=jw-market-backend-api
deployment.apps/jw-market-backend-api-reference-cycle0119      1/1     1            1           40m     jw-market-backend-api               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-market-backend-api@sha256:d5e23b72f55537bac3bbfc99e60dcaf9bf3a9c848e1d43f0eacb4f21df57cd66                                 app=jw-market-backend-api-test-cycle0119-ref
deployment.apps/jw-market-backend-api-test                     1/1     1            1           36d     jw-market-backend-api               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/jw-market-backend-api@sha256:2c61500424a4e9fca43a8df9657d8f653983f9bd3b8157d829f99a88c1e94ba3                                 app=jw-market-backend-api-test
