brand_id,column,before,after
sb_002_00048,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00048,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00049,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00049,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_002_00050,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_002_00050,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00005,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00005,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00006,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00007,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00007,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00008,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00008,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00009,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00009,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00010,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00010,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00011,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00011,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00012,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00012,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00013,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00013,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00014,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00014,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00015,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00015,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00016,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00016,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00017,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00017,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00018,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00018,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00019,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00019,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00020,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00020,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00021,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00021,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00022,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00022,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00023,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00023,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00024,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00024,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00025,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00025,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00026,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00026,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00027,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00027,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00028,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00028,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00029,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00029,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00030,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00030,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00031,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00031,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00032,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00032,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00033,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00033,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00034,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00034,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00035,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00035,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00036,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00036,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00037,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00037,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00038,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00038,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00039,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00039,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00040,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00040,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00041,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00041,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00042,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00042,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00043,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00043,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00044,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00044,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00045,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00045,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00046,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00046,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00047,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00047,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00048,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00048,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00049,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00049,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00050,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00050,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
