product_id,column,before,after
sp_002_00019_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00019_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00019_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00019_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00019_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00019_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00019_004,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00019_004,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00019_005,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00019_005,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00019_006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00019_006,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00020_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00020_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00020_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00020_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00020_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00020_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00020_004,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00020_004,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00020_005,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00020_005,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00020_006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00020_006,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00021_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00021_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00021_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00021_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00021_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00021_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00021_004,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00021_004,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00021_005,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00021_005,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00021_006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00021_006,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00022_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00022_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00022_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00022_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00022_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00022_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00022_004,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00022_004,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00022_005,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00022_005,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00022_006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00022_006,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00023_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00023_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00024_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00024_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00025_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00025_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00026_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00026_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00027_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00027_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00028_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00028_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00029_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00029_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00030_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00030_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00030_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00030_004,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_004,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00030_005,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_005,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00030_006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_006,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00030_007,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_007,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
